Season,Player_Name,Position,Team,Guaranteed_Money,Contract_Value,Contract_Length_Years
2016,Adrian Amos,S,CHI,232280,2512280,4
2016,Akiem Hicks,IDL,CHI,5500000,10000000,2
2016,A.Jeffery,WR,CHI,14599000,14599000,1
2016,Amini Silatolu,LT,CHI,100000,840000,1
2016,Anthony Jefferson,S,CHI,5000,1580000,3
2016,Antrel Rolle,S,CHI,4900000,11250000,3
2016,B.J. Daniels,QB,CHI,0,600000,1
2016,B.Braunecker,TE,CHI,0,990000,2
2016,Ben LeCompte,P,CHI,0,1620000,3
2016,Bobby Massie,RT,CHI,6500000,18000000,3
2016,B.Addison,WR,CHI,0,915000,2
2016,Brandon Boykin,CB,CHI,0,760000,1
2016,Brandon Marshall,WR,CHI,22300000,30000000,3
2016,B.Hoyer,QB,CHI,750000,2000000,1
2016,Brock Vereen,S,CHI,391500,2611500,4
2016,C.J. Wilson,IDL,CHI,0,760000,1
2016,C.Meredith,WR,CHI,6000,1581000,3
2016,Charles Leno Jr.,LT,CHI,46512,2266512,4
2016,C.Prosinski,S,CHI,80000,840000,1
2016,Cody Whitehair,C,CHI,2364438,4224568,4
2016,Cornelius Washington,ED,CHI,103788,2263788,4
2016,Cre'Von LeBlanc,CB,CHI,17500,1630000,3
2016,Cyril Richardson,LG,CHI,0,117300,1
2016,D'Anthony Smith,IDL,CHI,0,1185000,2
2016,Dalyn Williams,QB,CHI,0,1620000,3
2016,D.Braverman,WR,CHI,0,990000,2
2016,D.Brown,TE,CHI,0,525000,1
2016,Danny Mason,ED,CHI,0,450000,1
2016,Danny Trevathan,LB,CHI,15500000,28000000,4
2016,Darrin Peterson,WR,CHI,0,1620000,3
2016,David Bass,ED,CHI,0,1755000,3
2016,David Cobb,RB,CHI,0,117300,1
2016,D.Fales,QB,CHI,0,600000,1
2016,De'Vante Bausby,CB,CHI,0,450000,1
2016,DeAndre Houston-Carson,S,CHI,140944,2480944,4
2016,Deiondre' Hall,S,CHI,510892,2850892,4
2016,Deon Bush,S,CHI,526216,2866216,4
2016,Derek Keaton,WR,CHI,0,1620000,3
2016,Eddie Goldman,IDL,CHI,3523969,5686314,4
2016,E.Royal,WR,CHI,10000000,15000000,3
2016,Ego Ferguson,IDL,CHI,1918384,4113204,4
2016,Eric Kush,RG,CHI,0,675000,2
2016,Garry Williams,RT,CHI,0,760000,1
2016,Harold Jones-Quartey,S,CHI,0,1575000,3
2016,Hroniss Grasu,C,CHI,761920,3529420,4
2016,Jacquizz Rodgers,RB,CHI,80000,840000,1
2016,Jared Allen,ED,CHI,15500000,24000000,3
2016,Jarrett Grace,LB,CHI,0,1620000,3
2016,Jason Weaver,LT,CHI,0,960000,2
2016,J.Cutler,QB,CHI,54000000,126700000,7
2016,J.Langford,RB,CHI,543624,2823624,4
2016,Jermon Bushrod,LT,CHI,17715000,35965000,5
2016,Jerrell Freeman,LB,CHI,6000000,12000000,3
2016,Jimmy Staten,IDL,CHI,0,450000,1
2016,Joel Ross,CB,CHI,0,450000,1
2016,John Chiles,WR,CHI,0,960000,2
2016,John Timu,LB,CHI,0,1140000,2
2016,Johnthan Banks,CB,CHI,2842157,4726321,4
2016,J.Bell,RB,CHI,0,760000,1
2016,Jon Bostic,LB,CHI,1830163,3940798,4
2016,Jonathan Anderson,LB,CHI,0,1140000,2
2016,Jonathan Bullard,IDL,CHI,862520,3413520,4
2016,J.Howard,RB,CHI,248024,2588024,4
2016,Jordan Mills,RT,CHI,164800,2324800,4
2016,Josh Shirley,ED,CHI,0,1065000,2
2016,Josh Sitton,LG,CHI,9500000,21000000,3
2016,K.Carey,RB,CHI,443380,2663380,4
2016,Keith Browner,ED,CHI,0,525000,1
2016,K.White,WR,CHI,16563048,16563048,4
2016,Khaled Holmes,C,CHI,0,675000,1
2016,Khaseem Greene,LB,CHI,432092,2592092,4
2016,Kieren Duncan,WR,CHI,0,1620000,3
2016,Kyle Fuller,CB,CHI,9687000,9687000,4
2016,Kyle Long,RG,CHI,30000000,40000000,4
2016,Lamarr Houston,ED,CHI,14900000,35000000,5
2016,Leonard Floyd,ED,CHI,15782990,15782990,4
2016,Manny Ramirez,C,CHI,0,965000,1
2016,M.Wilson,WR,CHI,47148,2207148,4
2016,Marquis Jackson,IDL,CHI,0,450000,1
2016,Martellus Bennett,TE,CHI,9215000,20400000,4
2016,M.Barkley,QB,CHI,0,675000,1
2016,Matt Blanchard,QB,CHI,0,450000,1
2016,Matt McCants,LT,CHI,325000,1000000,1
2016,Matt Slauson,LG,CHI,4900000,12800000,4
2016,Matthew Wells,LB,CHI,143892,2423892,4
2016,Mike Adams,RT,CHI,0,760000,1
2016,Mitch Unrein,IDL,CHI,500000,2260000,2
2016,M.Pruitt,TE,CHI,0,1140000,2
2016,Nate Chandler,LT,CHI,0,675000,1
2016,Nick Becton,RT,CHI,0,675000,1
2016,Nick Kwiatkoski,LB,CHI,575120,2915120,4
2016,Omar Bolden,CB,CHI,80000,840000,1
2016,Pat O'Donnell,P,CHI,105308,2325308,4
2016,P.Lasike,RB,CHI,0,990000,2
2016,Pernell McPhee,ED,CHI,15500000,38750000,5
2016,Raheem Mostert,RB,CHI,0,525000,1
2016,Rob Housler,TE,CHI,0,760000,1
2016,Roberto Aguayo,K,CHI,2025320,4052568,4
2016,Ronald Powell,LB,CHI,0,117300,1
2016,Roy Robertson-Harris,IDL,CHI,17000,1627000,3
2016,Ryan Groy,C,CHI,8000,1538000,3
2016,Sam Acho,ED,CHI,130000,840000,1
2016,Shane Carden,QB,CHI,10000,1585000,3
2016,Shelley Smith,LG,CHI,0,760000,1
2016,Sherrick McManis,CB,CHI,750000,2850000,2
2016,Tayo Fabuluje,LT,CHI,131364,2411364,4
2016,Terry Williams,IDL,CHI,0,885000,2
2016,Tim Jennings,CB,CHI,11800000,22400000,4
2016,Tony Moeaki,TE,CHI,0,760000,1
2016,Tracy Porter,CB,CHI,4250000,12000000,3
2016,Tre McBride,WR,CHI,0,1140000,2
2016,Tyler Moore,LG,CHI,0,1575000,3
2016,Will Sutton,IDL,CHI,586068,2851068,4
2016,Willie Young,ED,CHI,9000000,11050000,2
2016,Z.Miller,TE,CHI,3000000,6000000,2
2017,A.Shaheen,TE,CHI,3637216,5910516,4
2017,Adrian Amos,S,CHI,232280,2512280,4
2017,Akiem Hicks,IDL,CHI,30000000,48000000,4
2017,Alex Carter,CB,CHI,0,122400,1
2017,Alex Scearce,LB,CHI,0,1665000,3
2017,Andrew DePaola,LS,CHI,0,690000,1
2017,Andy Phillips,K,CHI,0,1665000,3
2017,Anthony Jefferson,S,CHI,5000,1580000,3
2017,Antrel Rolle,S,CHI,4900000,11250000,3
2017,B.W. Webb,CB,CHI,300000,1500000,1
2017,Ben Braunecker,TE,CHI,0,1170000,2
2017,Ben LeCompte,P,CHI,0,1620000,3
2017,B.Cunningham,RB,CHI,80000,855000,1
2017,Bobby Massie,RT,CHI,6500000,18000000,3
2017,Bradley Sowell,TE,CHI,80000,855000,1
2017,Bralon Addison,WR,CHI,0,915000,2
2017,Brandon Greene,RG,CHI,0,1665000,3
2017,Brock Vereen,S,CHI,391500,2611500,4
2017,Bryce Callahan,CB,CHI,0,615000,1
2017,C.J. Wilson,IDL,CHI,180000,980000,1
2017,Cairo Santos,K,CHI,0,690000,1
2017,Cameron Lee,LG,CHI,0,1020000,2
2017,Cameron Meredith,WR,CHI,6000,1581000,3
2017,Carl Bradford,LB,CHI,0,122400,1
2017,Caushaud Lyons,IDL,CHI,0,122400,1
2017,Charles Leno Jr.,LT,CHI,18000000,37000000,4
2017,Chris Prosinski,S,CHI,80000,855000,1
2017,Christian Jones,LB,CHI,500000,1500000,1
2017,Cody Whitehair,C,CHI,2364438,4224568,4
2017,Colin Thompson,TE,CHI,0,122400,1
2017,Connor Barth,K,CHI,155000,980000,1
2017,Connor Shaw,QB,CHI,0,465000,1
2017,Cre'Von LeBlanc,CB,CHI,17500,1630000,3
2017,Cyril Richardson,LG,CHI,0,540000,1
2017,D.J. Tialavea,TE,CHI,0,122400,1
2017,Dalyn Williams,QB,CHI,0,1620000,3
2017,Dan Skuta,LB,CHI,300000,1200000,1
2017,Daniel Braverman,WR,CHI,0,990000,2
2017,D.Brown,TE,CHI,0,615000,1
2017,Danny Trevathan,LB,CHI,15500000,28000000,4
2017,Darreus Rogers,WR,CHI,0,122400,1
2017,Darrin Peterson,WR,CHI,0,1620000,3
2017,David Cobb,RB,CHI,0,540000,1
2017,David Fales,QB,CHI,114224,2334224,4
2017,DeAndre Houston-Carson,S,CHI,0,1170000,2
2017,DeMarcus Ayers,WR,CHI,0,122400,1
2017,Deiondre' Hall,S,CHI,510892,2850892,4
2017,Deon Bush,S,CHI,526216,2866216,4
2017,D.Thompson,WR,CHI,80000,855000,1
2017,Derek Keaton,WR,CHI,0,1620000,3
2017,Dieugot Joseph,LT,CHI,0,1665000,3
2017,D.Sims,TE,CHI,10000000,18000000,3
2017,D.Inman,WR,CHI,0,2746000,1
2017,Doran Grant,CB,CHI,0,122400,1
2017,Dres Anderson,WR,CHI,0,465000,1
2017,Eddie Goldman,IDL,CHI,3523969,5686314,4
2017,Eddie Jackson,S,CHI,665808,3065808,4
2017,Eddie Royal,WR,CHI,10000000,15000000,3
2017,Ego Ferguson,IDL,CHI,1918384,4113204,4
2017,Eric Kush,LG,CHI,500000,2700000,2
2017,Franko House,TE,CHI,0,1665000,3
2017,Freddie Stevenson,FB,CHI,0,1665000,3
2017,Harold Jones-Quartey,S,CHI,0,1575000,3
2017,Hendrick Ekpe,LB,CHI,3500,1668500,3
2017,Howard Jones,ED,CHI,0,1320000,2
2017,Hroniss Grasu,C,CHI,761920,3529420,4
2017,Isaiah Irving,LB,CHI,0,1665000,3
2017,Jacoby Glenn,CB,CHI,0,615000,1
2017,Jarrett Grace,LB,CHI,0,1620000,3
2017,Jason Thompson,S,CHI,0,122400,1
2017,Jay Cutler,QB,CHI,54000000,126700000,7
2017,Jaye Howard,IDL,CHI,0,775000,1
2017,Jeff Overbaugh,LS,CHI,0,465000,1
2017,Jeremy Langford,RB,CHI,543624,2823624,4
2017,Jermon Bushrod,LT,CHI,17715000,35965000,5
2017,Jerrell Freeman,LB,CHI,6000000,12000000,3
2017,Jhajuan Seales,WR,CHI,0,1665000,3
2017,Joel Bouagnon,RB,CHI,7500,1672500,3
2017,John Jenkins,IDL,CHI,100000,900000,1
2017,John Timu,LB,CHI,0,615000,1
2017,Johnthan Banks,CB,CHI,80000,855000,1
2017,Jonathan Anderson,LB,CHI,0,1320000,2
2017,Jonathan Bullard,IDL,CHI,862520,3413520,4
2017,Jo.Howard,RB,CHI,248024,2588024,4
2017,Jordan Morgan,LG,CHI,296048,2696048,4
2017,J.Bellamy,WR,CHI,0,775000,1
2017,Josh Rounds,RB,CHI,0,1665000,3
2017,Josh Shirley,ED,CHI,0,1065000,2
2017,Josh Sitton,LG,CHI,9500000,21000000,3
2017,Justin Perillo,TE,CHI,0,690000,1
